宝可梦地区,现实地区,pokemon,纬度,经度,推荐地址,是否精确匹配,,,
宝可梦巢穴,“巨人之路”,,55.2408073,-6.5115554,"Giant's Causeway, 44 Causeway Rd, Bushmills BT57 8SU, UK",是,,,
机擎市,曼彻斯特,鲤鱼王、泥泥鳅、贪心栗鼠,53.4807593,-2.2426305,"Manchester, UK",是,,,
３号道路和伽勒尔矿山,曼彻斯特煤田,,34.7005588,135.4957339,"Umeda, Kita Ward, Osaka, 530-0001, Japan",否,,,
４号道路,约克郡谷地,,54.2670223,-2.0841784,"Yorkshire Dales, Leyburn DL8 3DN, UK",是,,,
草路镇,约克,铁螯龙虾,53.9614205,-1.0739108,"York, UK",是,,,
５号道路,里伯海德铁路桥,,,,,否,,,
水舟镇,利物浦,灯笼鱼、野蛮鲈鱼、弱丁鱼、木棉球,,,,否,,,
第二矿山,兰开夏煤田,壶壶、无壳海兔、不良蛙、滑滑小子、泥巴鱼、龟脚脚、嗡蝠、胆小虫、咬咬龟、泥泥鳅、龙虾小兵、海兔兽、暴噬龟,53.9690089,-2.6276908,"Lancashire, UK",否,,,
机擎市郊外,桑基铁路桥,不良蛙、滑滑小子、石丸子、驹刀小兵、咬咬龟、捣蛋小妖、猫头夜鹰、树才怪、瓦斯弹、迷布莉姆、打击鬼、投摔鬼、夜盗火蜥,,,,否,,,
拳关市,伯明翰,波克比,52.4822694,-1.8900078,"Birmingham, UK",是,,,
６号道路,峰区,,53.29916,-1.801692,"Peak District National Park, United Kingdom",是,,,
溯传镇,切斯特菲尔德,迷布莉姆、捣蛋小妖,53.2334883,-1.4238013,"Chesterfield, UK",是,,,
迷光森林,雪伍德森林,粉香香、绵绵泡芙、小木灵、灯罩夜菇、投掷猴、来悲茶、提布莉姆、诈唬魔、爱管侍、捣蛋小妖,53.205875,-1.0860901,"Sherwood Forest, Mansfield, UK",是,,,
舞姿镇,诺丁汉,,52.9540223,-1.1549892,"Nottingham, UK",是,,,
７号道路,铁桥谷,,52.631318,-2.4866091,"Ironbridge Gorge Civil Parish, Telford, UK",是,,,
８号道路,科茨沃尔德,,51.794968,-1.8838937,"Cotswold District, UK",是,,,
战竞镇,巴斯,投摔鬼,51.3781018,-2.3596827,"Bath, UK",是,,,
战竞湾,卡迪根湾,,,,,否,,,
尖钉镇郊外,大欧姆,,,,,否,,,
尖钉镇,兰迪德诺,魔墙人偶,53.324061,-3.827609,"Llandudno LL30, UK",是,,,
九路隧道,康威隧道,,,,,否,,,
白丘,奇尔特恩丘陵,,51.7250784,-0.8092259,"Chiltern Hills, Princes Risborough HP27 0RP, UK",是,,,
宫门市,伦敦,铝钢龙,51.5072178,-0.1275862,"London, UK",是,,,
２２３号水路,齿舞群岛,,43.5,146.1666667,Habomai,Islands,是,,
２２４号道路,爷爷岳～洛夫佐夫角一带,,,,,否,,,
破海之路,大千岛群岛,,47.283333,151.5,"Greater Kuril Ridge, Russia",是,,,
花之乐园,阿赖度岛,谢米,50.8597222,155.5594444,"Atlasov Island, Sakhalin Oblast, Russia, 694550",是,,,
对战特区,涅韦尔斯克,,46.6774007,141.8559617,"Nevelsk, Sakhalin Oblast, Russia",是,,,
２２６号水路,鲑湾,,,,,否,,,
２２７号道路,达奇涅村,,,,,否,,,
２２８号道路,湖滨村等地,,,,,否,,,
２２９号道路,阿尼瓦岬,,46.0197222,143.4141667,"Aniva, Russia, 694005",是,,,
名胜区,诺维科沃,哥达鸭、可达鸭、鲤鱼王、角金鱼、暴鲤龙、金鱼王,57.726253,36.5265644,"Novikovo, Tver Oblast, Russia, 171960",是,,,
２３０号水路,阿尼瓦湾,,46.6,142.6,"Aniva Bay, Russia, 694030",是,,,
